nombre,codigo,descripcion,url
Perfume sólido relajante Manzanilla y Lavanda Tododia Todanoche,NATCHL-121968,"• relaja las áreas de tensión | • textura balm, no deja la piel oleosa | • ideal para automasaje | • intensifica la experiencia pre-sueño | • fragancia relajante* de té de manzanilla y lavanda, acogedora e inusitada con notas florales aromáticas | • perfume sólido en formato lápiz, práctico para llevar en el bolso o neceser",https://www.natura.cl/p/concentrado-relajante-tododia-te-de-manzanilla-y-lavanda-800-mg/NATCHL-121968
Base sérum nude me,NATCHL-110184,"• duración de hasta por 24 horas | • natural como una segunda piel, sin craquelar | • con tecnología oxygen. | • una belleza que une acabado natural con una piel revitalizada. | • 24 horas de duración con efecto Nude Me: natural como una segunda piel, sin arrugas. | • tecnología Complex Oxygen, que permite que la piel respire de forma natural. | • textura ultraligera con cobertura personalizable. | • protege la piel del daño causado por la luz azul. | • para todo tipo de piel excepto acné | • es ligero como el aire porque tiene una textura ultraligera, que garantiza una sensación de ligereza y",https://www.natura.cl/p/base-serum-nude-me-16f-30-ml/NATCHL-110184
Polvo suelto Una luminoso - 8 g,NATCHL-165814,"• ingredientes naturales: sésamo, cacao y ceramidas de maracuyá | • combate el envejecimiento | • contribuye a la firmeza* | • más volumen* | • nutre los labios* | • cobertura: alta | • dermatológicamente probado | • protección solar: FPS 25 | • libre de crueldad animal (cruelty free) | • textura: cremosa y confortable | • zona de aplicación: labios",https://www.natura.cl/p/polvo-suelto-una-luminoso-8-g/NATCHL-165814
Labial Cc Hidratante Fps 25 Una,NATCHL-92529,"• ingredientes naturales: sésamo, cacao y ceramidas de maracuyá | • combate el envejecimiento | • contribuye a la firmeza* | • más volumen* | • nutre los labios* | • cobertura: alta | • dermatológicamente probado | • protección solar: FPS 25 | • libre de crueldad animal (cruelty free) | • textura: cremosa y confortable | • zona de aplicación: labios",https://www.natura.cl/p/labial-cc-hidratante-fps-25-rouge-8c-38g/NATCHL-92529
Eau de Toilette unisex Ekos Ryo Chuva 75ml,NATCHL-133869,"• fragancia: cítrico acuoso, mandarina, musgo, jazmín | • mezcla única del olor a tierra mojada y plantas del bosque | • gota olfativa: cítrica, acuática moderada | • intensidad sorprendente",https://www.natura.cl/p/ekos-ryo-lluvia-eau-de-toilette-unisex-75-ml/NATCHL-133869
Labial ultracare 24 horas Una,NATCHL-148471,"• tratamiento labial de alto rendimiento | • proporciona hidratación continua por hasta 24 horas | • enriquecido con ingredientes nutritivos | • fórmula que actúa como una barrera protectora contra la resequedad, el clima extremo y los agentes contaminantes | • ideal para el uso diario | • deja los labios visiblemente más suaves, rellenados y cómodos | • envase práctico de 7 ml | • perfecto para llevar contigo y reaplicar cuando quieras | • para todo tipo de piel",https://www.natura.cl/p/labial-ultracare-24-horas-una-nude-2c-8-ml/NATCHL-148471
Agua micelar desmaquillante suave Chronos,NATCHL-133503,"• contiene bioactivo de candeia, que calma la piel | • probado dermatológicamente | • apto para la zona de los ojos | • purifica eliminando la oleosidad y los residuos de contaminación | • hidrata de inmediato y a lo largo del día | • edad sugerida: 18+ | • disponible en refill | • cruelty free | • vegano | • ocasión de uso: limpieza | • apto para todo tipo de piel | • textura: líquida | • zona de aplicación: rostro | • elimina hasta el 99 % del maquillaje e impurezas sin enjuague | • textura ligera como el agua",https://www.natura.cl/p/agua-micelar-desmaquillante-suave-chronos-150-ml/NATCHL-133503
Lumina Antioleosidad Kit repuesto,NATCHL-250275,"control e hidratación en la medida justa• shampoo que no daña el cuero cabelludo ni reseca el cabello • evita el efecto rebote, actuando sobre la causa y el síntoma de la oleosidad • deja el cuero cabelludo equilibrado y el cabello limpio por más tiempo • promueve el control de la oleosidad sin efecto rebote* • fórmula con BioProteína Triple Acción + activo dermoregulador • acondicionador con mayor tecnología para el cuidado del cabello • con BioProteína de Triple Acción y activo dermoregulador • un paso esencial en tu ritual de cuidado • fórmula que deja el cabello 4 veces más hidratado sin a",https://www.natura.cl/p/lumina-antioleosidad-kit-repuesto/NATCHL-250275
Crema Hidratante para el Cuerpo Ekos Ucuuba,NATCHL-203377,"2 veces más elastina en tu piel con la potencia antiflacidez de la ucuuba.*• hidratante corporal que protege, hidrata y retonifica la piel • rico en manteca bruta de ucuuba, que estimula la producción natural de colágeno y elastina • deja la piel firme y tonificada • la línea Ekos Ucuuba contribuye a la regeneración de la Amazonía y ayuda a fortalecer el ingreso de 1054 familias guardianas de la selva vinculadas a la cosecha sustentable• 97% de origen natural. *resultado comprobado por prueba in vitro con el activo",https://www.natura.cl/p/crema-hidratante-para-el-cuerpo-ekos-ucuuba-400-ml/NATCHL-203377
Kit Natura Lumina Repuesto de shampoo y acondicionador,NATCHL-256121,"acción antiedad con protección antioxidante para el cuero cabelludo y el cabello• champú que neutraliza el efecto de los radicales libres y desacelera los signos del tiempo • fórmula con Tecnología Bioproteína Triple Acción + Activo ProMelanina: protege la melanina y estimula la formación del color natural del cabello • previene y revierte la aparición de canas • protege y estimula la producción de melanina, manteniendo la pigmentación natural del cabello • tratamiento progresivo con resultados científicamente comprobados • acondicionador que hidrata sin apelmazar • con Tecnología Bioproteína ",https://www.natura.cl/p/kit-natura-lumina-repuesto-de-shampoo-y-acondicionador-4-unidades/NATCHL-256121
Lápiz Labial Retráctil PRO Una,NATCHL-204429,"alta precisión con color intenso.• fórmula pigmentada y a prueba de agua • contorno preciso de larga duración • acabado semi-mate • con aceite de jojoba: hidratación labial, que cuida de resequedades y fisuras en la región de la boca • fórmula con tecnología de partículas.",https://www.natura.cl/p/lapiz-labial-retractil-pro-una-35-g/NATCHL-204429
Hidratante de manos Bothanica Fructus folium,NATCHL-139239,"Hidratante de manos BothanicaCon notas de hojas de tomate, cardamomo y fenogreco, y un blend exclusivo de aceites esenciales de ishpink y palo santo.Contenido230 mlSobre la marca Bothanica:Natura Bothanica se integra en los diferentes ambientes con fragancias potentes y de larga duración. Su Arquitectura olfativa está caracterizada por notas herbales, frescas y cítricas, y presencia de amaderados.",https://www.natura.cl/p/hidratante-de-manos-bothanica-fructus-folium-230-ml/NATCHL-139239
Corrector Cobertura Extrema Una 8 Ml,NATCHL-122117,"• efecto mate | • disimula signos de cansancio y neutraliza imperfecciones | • fórmula ligera, libre de aceites y que no reseca | • textura cremosa y resistente al agua y al sudor | • acabado impecable y confortable durante todo el día | • ingredientes de la ciencia dermatológica: contiene vitamina E, con acción antioxidante que combate los radicales libres, previniendo el envejecimiento prematuro | • tecnología de partículas: tecnología de pigmentos que, combinada con el uso de la base, protege la piel de los daños causados por la luz azul | • para todo tipo de piel | • aplicador suave que ga",https://www.natura.cl/p/corrector-cobertura-extrema-una-19n-8-ml/NATCHL-122117
Base Líquida Faces Checkmatte,NATCHL-166341,"base con acabado mate, larga duración, cobertura media y activos de cuidado de la piel.• base resistente al agua y al sudor • formulada con ácido salicílico, que controla la oleosidad y deja la piel sequita todo el día • enriquecida con vitamina E, que tiene acción antioxidante e hidratante • protege de la luz azul • producto no comedogénico • minimiza la apariencia de los poros y disimula imperfecciones • dermatológicamente y oftalmológicamente probado • para todo tipo de piel.",https://www.natura.cl/p/base-liquida-faces-checkmatte-25-ml/NATCHL-166341
Base Líquida Faces Checkmatte,NATCHL-166332,"base con acabado mate, larga duración, cobertura media y activos de cuidado de la piel.• base resistente al agua y al sudor • formulada con ácido salicílico, que controla la oleosidad y deja la piel sequita todo el día • enriquecida con vitamina E, que tiene acción antioxidante e hidratante • protege de la luz azul • producto no comedogénico • minimiza la apariencia de los poros y disimula imperfecciones • dermatológicamente y oftalmológicamente probado • para todo tipo de piel.",https://www.natura.cl/p/base-liquida-faces-checkmatte-25-ml/NATCHL-166332
Erva Doce Kit 3 Deos en Crema,NATCHL-250344,cada día es un día para vivir tu cuerpo• desodorante con protección invisible y prolongada • evita manchas blancas en ropa oscura • nueva fórmula con tecnología que ofrece 48 horas de protección • complejo hidratante • cuida la piel con vitamina E contiene 3 Desodorante Antitranspirante en Crema Invisible Erva Doce 80 g,https://www.natura.cl/p/erva-doce-kit-3-deos-en-crema/NATCHL-250344
Mascarilla Hidratante Lumina para Hidratación y Protección Antipolución,NATCHL-200649,"revierte los daños de la contaminación en el cabello, dejando el cabello 9 veces más hidratado por hasta 96 horas.*• fórmula con acción antioxidante • cabellos 2 veces más protegidos contra la contaminación y los radicales libres • rellena la cutícula y protege contra agresiones diarias • cabello hidratado y con brillo saludable • resultados científicamente comprobados desde la primera aplicación* • tratamiento para cabellos deshidratados, con aspecto seco y daños leves. *beneficios comprobados con el uso de la línea completa.",https://www.natura.cl/p/mascarilla-hidratante-lumina-para-hidratacion-y-proteccion-antipolucion-250-ml/NATCHL-200649
Hidratante Iluminador Corporal Perfumado Luna Divina,NATCHL-173003,"hidrata y perfuma tu piel con el chipre irresistible de Luna Divina.• piel radiante y perfumada • 48 horas de hidratación • fragancia chipre floral inspirada en el eau de toilette de la línea • brillo sofisticado que realza lo mejor de tu piel • piel naturalmente iluminada, con un efecto glow irresistible • fórmula exclusiva con micas de fondo que garantizan una iluminación homogénea y metalizada • contiene partículas centelleantes que promueven una luminosidad delicada y envolvente.",https://www.natura.cl/p/hidratante-iluminador-corporal-perfumado-luna-divina/NATCHL-173003
Jabón cremoso para Manos,NATCHL-26441,• realiza una limpieza suave con pH fisiológico y la frescura del anís dulce | • fragancia que es la marca registrada de Natura | • ingredientes que forman una espuma cremosa y dejan una delicada capa protectora en la piel | • probado dermatológicamente | • cuenta con recarga (refill) | • cruelty free | • vegano | • tipo de piel: todos los tipos de piel,https://www.natura.cl/p/natura-erva-doce-jabon-cremoso-manos-250ml/NATCHL-26441
Repuesto Base Líquida HD Una,NATCHL-173606,"acabado natural impecable con poderosa acción antiseñales.• 24 horas de duración e hidratación • 100% aprobada por consumidoras • menos 9% arrugas y líneas en 4 semanas • textura ligera y aterciopelada que se funde perfectamente con la piel • base con cobertura alta y alta definición • piel uniforme e imperceptible a simple vista • poderosa acción antiseñales con retinol, péptidos y bioactivo, que provoca una verdadera transformación de tu piel. contiene 1 repuesto de 30 ml con base en el color seleccionado.",https://www.natura.cl/p/repuesto-base-liquida-hd-una-30-ml/NATCHL-173606
Lapiz Para Labios Faces,NATCHL-9619,• úsalo como quieras | • para dar color o para delinear | • resalta aún más tus labios | • alta cobertura | • testado dermatológicamente | • edad sugerida: a partir de 18 años | • textura ultrasuave | • zona de aplicación: labios | • cruelty free,https://www.natura.cl/p/lapiz-para-labios-faces-rosa-14g/NATCHL-9619
Lumina Repuesto Hidratación y Protección Kit,NATCHL-250279,"cuidado diario con purificación, hidratación y equilibrio• acondicionador con mayor tecnología para cuidar el cabello desde la primera aplicación • con BioProteína de Triple Acción y activo antipolución • sistema que proporciona hasta 6 veces más hidratación • 2 veces más protección contra los radicales libres* • un paso esencial en tu ritual de cuidado • fórmula que hidrata las puntas sin apelmazar • deja el cabello ligero y con movimiento • shampoo con limpieza equilibrada que no reseca las puntas • mantiene el cabello limpio por más tiempo • 4 veces más fuerza • 2 veces más hidratación • 2,",https://www.natura.cl/p/lumina--repuesto-hidratacion-y-proteccion-kit/NATCHL-250279
Repuesto Crema para peinar Infantil cabello rizado y crespo,NATCHL-102405,"• crema para peinar que mantiene los rizos activados por hasta 24 horas | • fórmula que nutre y protege el cabello, además de facilitar el peinado | • deliciosa fragancia frutal, con aroma a niñez feliz | • nutre el cabello | • hace que peinar sea 10 veces más fácil | • acción antifrizz | • previene la rotura | • 98% de ingredientes de origen natural, como manteca de murumuru | • ideal para cabellos con curvas de 3A a 4C | • probado dermatológicamente | • edad sugerida: 4 a 8 años | • tipo de cabello: rizado y crespo | • cruelty free | • vegano",https://www.natura.cl/p/repuesto-crema-para-peinar-nature-cabello-rizado-y-crespo-250-ml/NATCHL-102405
